kutti,standard
আমাত্তে তিরিশ টা কভার আছে,আমার কাছে ত্রিশটা কভার আছে
না লইয়া যাইতে কয় না ,"না, নিয়ে যেতে বলে না"
দেহায় অর দিলে কত কস্ট,দেখায় ওর মনে কত কষ্ট
কভার আছে মাগার ফুন নাইক্কা,কভার আছে কিন্তু ফোন নেই
আমার লাইগা নি অর,আমার জন্য কি ওর
রিসতা খারাব হইয়া গ্যাছে গা,সম্পর্ক খারাপ হয়ে গেছে
তুই কুনুদিন মানুস অবি না,তুই কোনোদিন মানুষ হবি না
আমি ভাত খামু না,আমি ভাত খাব না
হ্যায় অ্যাকখান কইরা ডিম পাড়ে,সে একটা করে ডিম পাড়ে
আর আমার আরো বেসি,আর আমার আরও বেশি
ট্যাকা ঘরে আইবো,টাকা ঘরে আসবে
মুর্গী বেছি কইরা খাওন খাইলে,মুরগি বেশি করে খাবার খেলে
বেসি কইরা ডিম দেয়,বেশি করে ডিম দেয়
বয়স যহন বেসি,বয়স যখন বেশি
অহন ম্যালা বড় এক্কান বাড়ি,এখন অনেক বড় একটা বাড়ি
আর কতা কওনের সুযোগ দ্যায় না,আর কথা বলার সুযোগ দেয় না
হ্যারে লইয়া আইয়া পড়েন,তাকে নিয়ে চলে আসুন
ম্যালা ডরাইছে বুজা যাইতাছে,অনেক ভয় পেয়েছে বোঝা যাচ্ছে
এইসব দেইখা ব্যাকগুনে হ্যারে কইল,এসব দেখে সবাই তাকে বলল
না আপনে যাইবেন না ,না আপনি যাবেন না 
আমি আর করতাম না,আমি আর করব না
আইজকা কিচ্ছু ভাল্লাগতাছে না ,আজকে কিছু ভালো লাগছে না
হ্যারা আবার আইবো,তারা আবার আসবে
আর আমারে লগে কইরা লইয়া যাইবো,আর আমাকে সাথে করে নিয়া যাবে
তুই আমারে কি দিবার পারবি,তুই আমাকে কী দিতে পারবি
হেই লাইগাই আমি অরে,সেজন্যই আমি ওকে
সুযোগ কইরা দিবার চাই,সুযোগ করে দিতে চাই
তরা তো বুজস সব,তোরা তো বুঝিস সব
কী ভুল কইছি কইবেন,কী ভুল বলেছি বলবেন
তরে কিয়ের লাইগা যাইবার দিব,তোকে কিসের জন্য যেতে দেবে
তুই ক দেহি আমারে অ্যাকবার,তুই বল দেখি আমাকে একবার
তর কস্ট অইবো সাড়ি পিন্দা,তোর কষ্ট হবে শাড়ি পরে
হেইর লাইগা আমি কইতাছি,তার জন্য বলছি
অহনই হগলডি কইরা লইতে,এখনই সব করে ফেলতে
আইচ্ছা তুই কাম খতম কর,আচ্ছা তুই কাজ করে শেষ কর
কতায় অ্যাকবারে কইতাছি,কথায় একবারে বলছি
গোস্সা করছে ক্যালা,রাগ করেছে কেন
বান্দরও মানুস অয়া গ্যাছে,বানরও মানুষ হয়ে গেছে
অই ছেমড়ি বেসি ফড়ফড়াইস না,এই মেয়ে বেশী কথা বলিস না
এমুন ঘাড়ানি খাবি,এমন মাইর খাবি
জন্মের ত্যাড়া খোমা,জন্মের বাঁকা মুখ
সিধা হয়া যাইবো গা,সোজা হয়ে যাবে
ফির মুখ দিয়া খালি,মুখ দিয়ে শুধু
সিধা সিধা কতা বাইর হইবো,সোজা সোজা কথা বের হবে
সিধা কতা আমারে পরে হিগাইস,সোজা কথা আমাকে পরে শেখাস
তরে আগে সিধা কইরা লই,তোকে আগে সোজা করে নেই
রাস্তার মইদ্দে বল খ্যালাইবি ক্যালা,রাস্তার মধ্যে বল খেলাবি কেন
মাইনসের বাড়িত বল ফালাইবি,মানুষের বাড়িতে বল ফেলবি
মাইনসে কিসু কইবো না,মানুষ কিছু বলবে না
বইয়া থাকবো নি মাইনসে,বসে থাকবে নাকি মানুষ
অই খাড়া কী কইবার চাস,এই দাড়া কী বলতে চাস
আমি তর সম্পত্তি ভাঙছি মানে,আমি তোর সম্পত্তি ভেঙেছি মানে
দ্যাখ আমি অহন মানুস অয়া গেছি,দেখ আমি এখন মানুষ হয়ে গিয়েছি
দ্যাখ ক্যামনে মাফ চাই,দেখ কীভাবে ক্ষমা চাই
গোসসা কইরা আছি,রাগ করে আছি
আমার দিলে বহুত জ্বালা,আমার মনে অনেক কষ্ট
তুই আমার ড্যাগ ভাঙছস,তুই আমার ডেকচি ভেঙেছিস
নিজের খোমায় বাড়ি দে,নিজের মুখে আঘাত কর
বেসি ফাও প্যাচাল পাড়বা না কইলাম,বেশী অপ্রয়োজনীয় কথা বলবে না বললাম
আমি কইয়া দিলাম তোমারে,আমি বলে দিলাম তোমাকে
রাস্তায় হগলের সম্মুখে,রাস্তায় সবার সামনে
আমার অপমান অয়া গ্যাছে,আমার অপমান হয়ে গেছে
তোমার মান ইজ্জত নাইক্কা তো কিছে ,তোমার মান সম্মান নেই তো কী হয়েছে 
আমার মাগার মান ইজ্জত আছে কইয়া দিলাম ,আমার কিন্তু মান সম্মান আছে বলে দিলাম
আমার মাইয়ার ইজ্জত,আমার মেয়ের সম্মান
মানে আমার ভি ইজ্জত,মানে আমারও সম্মান
ক্যাডায় এমুন কাম করছে,কে এমন কাজ করেছে
হুইন্নাই কইলজা হুগাইয়া গ্যাছে গা ,শুনেই কলিজা শুকিয়ে গেছে 
আপনে খালি আমার লগে,আপনি শুধু আমার সাথে
অ্যাকবার লন হ্যাগোর বাইত্তে,একবার চলুন তাদের বাড়িতে
অরে আমি টান দিয়া,ওকে আমি টান দিয়ে
কল্লারতে ছিড়া ফালামু,গলা থেকে ছিড়ে ফেলবো 
জলদি আহো কইয়া দিলাম,তাড়াতাড়ি আসো বলে দিলাম
হাজি সাব কতা হুনেন আমার,হাজি সাহেব কথা শুনুন আমার
আপনে অ্যামনে চ্যাততাছেন কিল্লাইগা,আপনি এভাবে উত্তেজিত হচ্ছেন কেন
জয়নালে গ্যাছে তাগাদার লাইগা,জয়নাল গিয়েছে পাওনা আদায়ের জন্য
তাগাদারতে আইয়া হে ,পাওনা আদায় করে এসে সে
আপনের মাল পৌছায় দিবো,আপনার মালামাল পৌছিয়ে দেবে
আপনে চিন্তা কইরেন না,আপনি চিন্তা করবেন না
মাগরিবের আগেই আপনে আপনের,মাগরিবের আগেই আপনি আপনার
মাল পাইয়া যাইবেন গা,মালামাল পেয়ে যাবেন
তুমার কি অইছে জলদি আহো,তোমার কি হয়েছে তাড়াতাড়ি আসো
তুমি আমারে অহন বুড়িগঙ্গার তে,তুমি কি আমাকে এখন বুড়িগঙ্গা থেকে
পানি আইনা খিলাইবা নি,পানি এনে খাওয়াবে নাকি
আরে বাজান তর কী হাল অইছে,আরে বাবা তোর কী অবস্থা হয়েছে
কুন বিলাইয়ে খামচাইছে তরে,কোন বিড়াল আঁচড় দিয়েছে তোকে
তোমার পোলার কী হাল অইছে দ্যাহো,তোমার ছেলের কী অবস্থা হয়েছে দেখো
তর এই হাল কেমনে হইলো,তোর এই অবস্থা কীভাবে হলো
দেইক্কা হুইন্না চলবি না তুই,দেখে শুনে চলবি না তুই
বাজান তুই কতা কস না কিল্লাইগা,বাবা তুই কথা বলিস না কেন
হেইডাই তো জানবার চাইতাছি,সেটাই তো জানতে চাইছি
তোর জিগরি দোস্ত আছে না,তোর প্রাণের বন্ধু আছে না
রমজান মিয়া হ্যার মাইয়ায়,রমজান মিয়া তার মেয়ে
সমস্যা নাইক্কা আব্বাজান,সমস্যা নেই বাবা
আমি অরে অ্যাকবার খালি,আমি ওকে একবার শুধু
কায়দা মতো পাইয়া লই,সুযোগ মত পেয়ে নেই
তর কিছু করবার লাগবো না,তোর কিছু করতে হবে না
অরে আমি দস হাত ,ওকে আমি দশ হাত
মাটির তলে গাইড়া দিমু,মাটির নিচে পুঁতে দেব
অ্যাত্ত বড় গরুডারে আমরা,এত বড় গরুটাকে আমরা
গাড়িত আনুম ক্যালা,গাড়িতে আনব কেন
পুরা রাস্তা হাডাইয়া আনছি,পুরো রাস্তা হাটিয়ে এনেছি
যে দাম জিগাইছে হ্যারে কইছি,যে দাম জিজ্ঞেস করেছে তাকে বলেছি
যে দাম জিগায় নাই হ্যারেও কইছি,যে দাম জিজ্ঞেস করে নি তাকেও বলেছি
কাইলকা ঘুমের থাইকা উইঠাই,কাল ঘুম থেকে উঠেই
গরুডারে গোসল দিয়া বাড়ির,গরুটাকে গোসল করিয়ে বাড়ির
সামতে লইয়া বানবি,সামনে নিয়ে বাঁধবি
আর মহল্লার হগল্লেরে খবর দিবি,আর এলাকার সবাইকে খবর দিবি
আমগো গরু দেইক্কা যাওনের লাইগ্গা,আমাদের গরু দেখে যাওয়ার জন্য
তোমারে ফোন টা আমি দিয়া দিমু,তোমাকে ফোন টা আমি দিয়ে দেব
এগুলিও লইয়া যাওগা,এগুলো নিয়ে যাও
আর হুন ঐ খাড়ুসটারেও খবর দিবি,আর শোন ঐ বদমেজাজিটাকেও খবর দিবি
অয়ও দেইক্কা দিলের ভিত্রে জ্বলুক,সেও দেখে মনের ভেতর জ্বলুক 
কত মানুস আইয়া পড়ছে,কত মানুষ এসে পড়েছে
আমগোর গরু দেহনের লাইগা,আমাদের গরু দেখার জন্য
আব্বা একখান কাম করলে কেমুন অয়,বাবা একটা কাজ করলে কেমন হয়
মহল্লার মানুস তো এমথেই দেখবো,এলাকার মানুষ তো এমনিতেই দেখবে
আবে হালায় পিছাস ক্যালা,এই যে পিছিয়ে যাস কেন
ধ্যাৎ তরে জুতা মারুম কিল্লাইগা,ধুর তোকে জুতা মারবো কেন
তরে তো অহন চুম্মা দিমু আমি,তোকে তো এখন চুমু দেব আমি
এক্কেরে খানদানি একখান মানুস আপনে,একেবারে অভিজাত একজন মানুষ আপনি
খুব সোন্দর লাগতাছে আপনেরে ,খুব সুন্দর লাগছে আপনাকে
নায়কের লাখান লাগতাছে,নায়কের মতো লাগছে
এই পাঞ্জাবীডায় যা মানাইছে না,এই পাঞ্জাবীটায় যা মানিয়েছে না
ঝাড়ি ঝুড়ি দিয়া লও,ঝাড়া দিয়ে নাও
কুঁচকাইয়া গ্যাছেগা পাঞ্জাবীডা,কুঁচকে গেছে পাঞ্জাবীটা
আসলে হইছে গিয়া কী,আসলে হয়েছে কী
আমার বাপ দাদায় ভি,আমার বাবা দাদাও
বহুত বড় দিলের। বান্দা আছিল,অনেক বড় হৃদয়ের মানুষ ছিল 
হ্যারা না খালি ফইন্নিগো মাদাদ করতো,তারা না শুধু গরীবদের সাহায্য করতো
দিলখোলা বান্দা আছিল হ্যারা,মুক্ত হৃদয়ের মানুষ ছিল তারা
কোরবানির সময় আমগোর বাইত্তে,কোরবানির সময় আমাদের বাড়িতে 
ফকির মিসকিনের ম্যালা বইয়া জাইতো,গরীব মানুষের মেলা বসে যেত
সাত দিন ধইরা খালি ,সাত দিন ধরে শুধু
ফইন্নিগো খিলাইতাম আমরা,গরীবদের খাওয়াতাম আমরা
আমার পোলা ভি দেখছে,আমার ছেলে ও দেখেছে
বাড়ি জুড়ায় বহুত ফইন্নিগো,বাড়ি জুড়ে ভিক্ষুকদের
আমার বাপ দাদায় খিলায়া গ্যাছে,আমার বাবা দাদা খাইয়ে গেছে
বাপ দাদার সভাব তো ,বাবা দাদার স্বভাব তো
আমার ভিত্রে ভি আয়া পড়ছে,আমার মধ্যেও এসে পড়েছে
আমার পোলার ভিত্রে ভি আয়া পড়ছে,আমার ছেলের মধ্যে ও এসে পড়েছে
হেই লাইগা আমরা ভি ফইন্নিগো লাইগা,সে কারণে আমরাও গরীবদের জন্য 
যদ্দুর পারি করবার চাই,যত দূর পারি করতে চাই
আল্লাহ যদ্দুর তৌফিক দিছে,আল্লাহ যত দূর তাওফিক দিয়েছে
করনের কোশেশ করি,করার চেষ্টা করি
গ্যালো ঈদে পাসসো মাইনসেরে,আগের ঈদে পাঁচশত মানুষকে
যাকাতের জামা কাপড় দিছি,যাকাতের জামা কাপড় দিয়েছি
আমরা তো দিলখোলা ,আমরা তো প্রাণখোলা
গুর্দাওয়ালা বংসের মানুস,বড় মনের বংশের মানুষ
আমরা তো আর পাসের বাড়ির,আমরা তো আর পাশের বাড়ির
মাইনসের লাখান না,মানুষের মতো নই
হ্যাগোর বাইত্তে তো ফকির মিসকিন,তাদের বাড়িতে তো ফকির মিসকিন
ঢুকবারই হিম্মত করে না,ঢুকতেই সাহস করে না
অ্যাক ফইন্নিরে পিডাইয়া,এক ভিক্ষুককে পিটিয়ে
মাইরাও ফালাইছে অ্যাকবার,মেরেও ফেলেছে একবার
হেইল্লাইগা করছি কি,এজন্য করেছি কি
এইবার আমরা বকরি ঈদে,এবার আমরা ঈদুল আজহায় 
পোনারো লাখ ট্যাকা দিয়া গরু কিনছি,পনেরো লাখ টাকা দিয়ে গরু কিনেছি
ঐ হাটের সবতে বড় গরু এইডা,ঐ হাটের সবচেয়ে বড় গরু
ঢাকার সব হাটের,ঢাকার সব হাটের
সবথে বড় গরুডা ,সবচেয়ে বড় গরুটা
আমি কিন্না লইয়া আইছি,আমি কিনে ফেলেছি
কিল্লাইগা কিনছি লাগে,কেন কিনেছি মনে হয়
আমি খাওনের লাইগা কিনছি লাগে,আমই খাওয়ার জন্য কিনেছি মনে হয়
খাওনের লাইগা কিনি নাইক্কা,খাওয়ার জন্য কিনি নি
কিনছি ফকির মিসকিনগো খাওয়ানের লাইগা,কিনেছি ফকির মিসকিনদের খাওয়ানোর জন্য
এডি গরীব মাইনসেরে খাওয়ামু,এগুলো গরীব মানুষকে খাওয়াবো
পোনারো দিন ধইরা,পনেরো দিন ধরে
ধুমসে খাওয়ামু হগলডিরে,ইচ্ছেমতো খাওয়াবো সবাইকে
পোনারো লাখ ট্যাকার গরু,পনেরো লাখ টাকার গরু
ঢাকা সহরের হগল,ঢাকা শহরের সকল
ফকির মিসকিনগোরে খাওয়ামু,ফকির মিসকিনদের খাওয়াবো
আপনে ভি আইয়া পইড়েন গা,আপনিও চলে আসবেন 
হ তো হ্যারে ভি খাওয়ামু,হ্যাঁ তো তাকে ও খাওয়াবো
আমগো ভি তাকলিফ নাইক্কা,আমাদেরও সমস্যা নেই
তুই গিয়া মেছিরে লইয়া আয় ঠিকাছে,তুই গিয়ে মেসিকে নিয়ে আয় ঠিক আছে
মেছি অইলো গিয়া,মেসি হলো গিয়ে
আমগোর গরুর নাম,আমাদের গরুর নাম
কামের সময় যদি পাওন যায়,কাজের সময় যদি পাওয়া যায়
কি আম্মা আমারে ডাকছেন,কী মা আমাকে ডেকেছেন
তুই আছিলি কই,তুই ছিলি কোথায় 
ক্যালা পাক ঘরেই আছিলাম,কেন রান্নাঘরেই ছিলাম
মরদ মাইনসের পাক ঘরে কি কাম,পুরুষ মানুষের রান্নাঘরে কী কাজ
আম্মা পয়দা অওনের পর থাইকাই তো,মা জন্মের পর থেকেই তো
আপনে আমারে পাক ঘরে রাইখা দিছেন,আপনি আমাকে রান্নাঘরে রেখে দিয়েছেন
মুখে মুখে কতা কবি না কইলাম কইয়া দিতাছি,মুখে মুখে কথা বলবি না বললাম বলে দিচ্ছি
আমারে অহন ডাকছেন ক্যালা কন,আমকে এখন ডেকেছেন কেন বলুন
অই অহন তুই ক,এই এখন তুই বল
আমগো পত্রিকা আহে নাই ক্যালা,আমাদের পত্রিকা আসে নি কেন
আম্মা আমি কেমতে কমু,মা আমি কীভাবে বলব
তুমি যদি না কইবার পারো,তুমি যদি না বলতে পারো
হেলে যেনে আছিলা হেনেই যাওগা,তাহলে যেখানে ছিলে সেখানেই চলে যাও
ওই হুন তরে কি আমি এইহানো,এই শোন তোকে কি আমি  এখানে 
তর সুরত দ্যাহোনের লাইগা ডাকছি নি,তোর চেহারা দেখার জন্য ডেকেছি নাকি
আইজকার থন পত্রিকার সাপ্লাইয়ার বদলাবি,আজ থেকে পত্রিকার সাপ্লায়ার পরিবর্তন করবি
ওই পুরান সাপ্লায়ারের থন আর লবি না,ওই পুরানো সাপ্লায়ারের থেকে আর নিবি না
নয়া পত্রিকা সাপ্লায়ার ঠিক কর,নতুন পত্রিকা সাপ্লায়ার ঠিক কর
অরে ডাকতাছোস কিল্লাইগা,ওকে ডাকছিস কিসের জন্য
আপনে না আমারে কইলেন তহন,আপনি না আমাকে বললেন তখন
অরে মানা কইরা দিবার লাইগা,ওকে মানা করে দেওয়ার জন্য
অই দ্যাখতো নি পত্রিকাডা এট্টু খুইল্লা,ওই দেখ তো পত্রিকাটা একটু খুলে
আমাগো খবরডা পত্রিকার ভিত্রে উঠছেনি,আমাদের খবরটা পত্রিকার ভেতরে উঠেছে কি না
জোনাকি তো বিয়ান বেলাই উঠছে,জোনাকি তো সকাল বেলায়ই উঠেছে
মর জ্বালা তরে কি আমি,মর জ্বালা তোকে কি আমি
জোনাকির উডার কতা জিগাইছি,জোনাকির ওঠার কথা জিজ্ঞেস করেছি
তরে জিগাইছি আমগো খবরটা,তোকে জিজ্ঞেস করেছি আমাদের খবরটা
পত্রিকার মইদ্দে উঠছেনি,পত্রিকার মধ্যে উঠেছে কি না
ওইটা দেখবার লাইগা কইছি,সেটা দেখার জন্য বলেছি
তরে আমি কেমতে কমু,তোকে আমি কীভাবে বলব
আমি পড়াসুনা করছি নি,আমি পড়াশোনা করেছি নাকি
পড়াসুনা করছ নাইক্কা,পড়াশোনা করোনি
তো ওইডা লইয়া খাড়াই রইছছ ক্যালা,তো ওটা নিয়ে দাঁড়িয়ে আছিস কেন
বুজছি যত্তসব মুরুক্ষের দল,বুঝেছি যতসব মূর্খের দল
তোমগো সবডির লাইগা,তোমাদের সবার জন্য
আমার একখান মাষ্টর রাহন লাগবো,আমার একজন মাস্টার রাখতে হবে
ক্যালা কামড় দিছে,কেন কামড় দিয়েছে
আপনে কইত্তে আইছেন,আপনি কোথা থেকে এসেছেন
আপনে কী চান,আপনি কী চান
আপনে ক্যাঠা,আপনি কে
উরে বাপরে বাপ,ওরে বাপরে বাপ
এইডাতো দেহি রেলগাড়ির লাখান,এটা তো দেখি রেলগাড়ির মতো
এত্ত লম্বা নাম অ্যালা নাম তো মিয়া,এত লম্বা নাম এমন নাম তো মিয়া
আমার জবান দিয়া আইবো না,আমার মুখ দিয়ে আসবে না
তো মিয়া আপনে কী চান,তো মিয়া আপনি কী চান
পত্রিকায় দ্যাখছেন কুন শুমে,পত্রিকায় দেখেছেন কোন সময়
আইজকা সক্কালেই তো দ্যাখলাম,আজ সকালেই তো দেখলাম
দেইখা সিধা আইয়া পড়ছি,দেখে সোজা চলে এসেছি
আমার আহোনের আগে যদি,আমার আসার আগে যদি
চাকরিডা আর কেউ লইয়া লয়,চাকরিটা আর কেউ নিয়ে নেয়
কোন পত্রিকায় দ্যাখছেন,কোন পত্রিকায় দেখেছেন
অহন আপনের হাতে যেইডা,এখন আপনার হাতে যেটা
হেইডার ভিত্রেই তো দ্যাখলাম আইজকা,সেটার ভেতরেই তো দেখলাম আজকে
এই পত্রিকার মইদ্দে উঠছে,এই পত্রিকার মধ্যে উঠেছে
ওই হাফসা আমগো খবর উঠছে,ওই হাফসা আমাদের খবর উঠেছে
আইচ্ছা অহন কন তো আমারে,আচ্ছা এখন বলেন তো আমাকে
আপনে পড়াসুনা কিচ্ছু জানেন নি,আপনি পড়াশোনা কিছু জানেন কি না
হ বিএ পাস করছি চাইর বচ্ছর আগে,হ্যাঁ বিএ পাস করেছি চার বছর আগে
ও আইচ্ছা আমি ত আবার মাইনসের,ও আচ্ছা আমি তো আবার মানুষের
জবান ইয়াকিন করবার পারি না,কথা বিশ্বাস করতে পারি না
পরীক্ষা দেওন লাগবো,পরীক্ষা দেওয়া লাগবে
যদি পাস করবার পারেন,যদি পাস করতে পারেন
ত আপনের চাকরি অইবো,তাহলে আপনার চাকরি হবে
কী জ্বী জ্বী করতাছেন ক‌্যালা,কী জি জি করছেন কেন
পরীক্ষা দিয়া পাস করবার পারবেন ,পরীক্ষা দিয়ে পাস করতে পারবেন
তো আপনে চাকরিডা পাইবেন,তবেই আপনি চাকরিটা পাবেন
আহেন ভিত্রে আহেন,"আসেন, ভেতরে আসেন"
আরে মিয়া আহেন না,"আরে মিয়া, আসেন না"
আপনে মাষ্টর পরীক্ষার কথা হুইন্নাই,"আপনি মাস্টার, পরীক্ষার কথা শুনেই"
এমতে ডরায় গ্যালে গা কেমতে হইবো,এমন ভয় পেয়ে গেলে কীভাবে হবে
আহেন আহেন মারুমনা,"আসেন আসেন, মারব না"
সদর দরজ বন্দ কইরা আয়,সদর দরজা বন্ধ করে আয়
জ্বী বমু নি আমি এইহানো,"জি, আমি কি এখানে বসব"
থাউগা আগে পরীক্ষা দিয়া লন,"থাক, আগে পরীক্ষা দিয়ে নিন"
পাস করবার পারলে তো বইয়েন,পাস করতে পারলে তখন বসবেন
হ আপনে পড়াসুনা জানেন নি,"হ্যাঁ, আপনি পড়াশোনা জানেন কি না"
ওইডা আমার জানোন লাগবো না,সেটা আমার জানা লাগবে না
না লন এই পরতিকাডা লন,"না, নিন এই পত্রিকাটা নিন"
এই পরতিকার মইদ্দে ভিত্রের পাতায়,এই পত্রিকার মধ্যে ভেতরের পাতায়
আমগোর আইজকার যেই,আমাদের আজকের যে
এডভেটাইসডা ছাপা আইছে,বিজ্ঞাপনটা ছাপা হয়েছে
ওইডা আমারে পইড়া হুনান,সেটা আমাকে পড়ে শোনান
হুনেন খবরটা একধিরছে,"শোনেন, খবরটা একনাগাড়ে"
যুত মত পইড়েন কইলাম ,ঠিকমতো পড়বেন বলে দিলাম
দ্যাহেন চাচি অ্যামনে হইলে কইলাম,"দেখেন চাচি, এমন হলে কিন্তু"
আর মুমকিন হইবার লয়,আর সম্ভব হবে না
তিন চাইর ঘণ্টা ধইরা আমি ,তিন-চার ঘণ্টা ধরে আমি
চক্ষুই ঠিক করবার লাগছি,চোখই ঠিক করছি
অহন তক খতম করবার পারলাম না,এখন পর্যন্ত শেষ করতে পারলাম না
আমার অর ভি ম্যালা কাম আছে,আমার আরও অনেক কাজ আছে
হেতিরে কান্দন থামাইবার কন,ওকে কান্না থামাতে বলেন
আইচ্ছা বাজান আমি দ্যাখবার লাগছি,"আচ্ছা বাবা, আমি দেখছি"
আমি বুঝবার পারছি তর পেরেসানি,আমি বুঝতে পারছি তোর কষ্ট
মোহাব্বত করতি হেইর লাইগা,"ভালোবাসতি, সেই জন্য"
এত্ত কান্দনের কী আছে,এত কান্নার কী আছে
আমিও তো মোহাব্বত করছি,আমিও তো ভালোবেসেছি
আমারে ভি জবরদস্তি কইরা সাদি দিছে,আমাকেও জোর করে বিয়ে দিয়েছে
আরে তর বাপের লগে সাদি না হইলে,"আরে, তোর বাবার সাথে বিয়ে না হলে"
এত্ত ট্যাকা উড়াইবার পারতাম নি,এত টাকা ওড়াতে পারতাম নাকি
এই পোলা ভি বিসিএস ক্যাডার,এই ছেলেও বিসিএস ক্যাডার
এই পোলার লগে সাদি হইলে,এই ছেলের সাথে বিয়ে হলে
জিন্দেগি এক্কেরে রঙ্গিন হইয়া যাইব,জীবন একেবারে রঙিন হয়ে যাবে
পকেটে পয়সা না থাকলে,পকেটে পয়সা না থাকলে
মোহাব্বত ভি এক্কেরে ফুরাইয়া যায়,ভালোবাসাও একেবারে ফুরিয়ে যায়
কান্দন থামাইয়া ছেরিডারে হাজাইবার দে,কান্না থামিয়ে মেয়েটাকে সাজাতে দে
চাচি এইডা আপনের নি,"চাচি, এটা আপনার নাকি"
না আমার হইবো ক্যালা,"না, আমার হবে কেন"
এইডা আমার না রে বাজান,এটা আমার না রে বাবা
তাইলে কি এইডা আমার নি,তাহলে কি এটা আমার
আইচ্ছা তাইলে আপনে এট্টু,"আচ্ছা, তাহলে আপনি একটু"
এইডার ঘেরাণ হুইঙ্কা দ্যাহেন,এটার ঘ্রাণ শুঁকে দেখেন
আরে পেরেসান হইতাছেন ক্যালা,"আরে, পেরেশান হচ্ছেন কেন"
আমি হইলাম গিয়া মোবারক ভাই,আমি হলাম গিয়ে মোবারক ভাই
মোহাব্বতের তরফের আদমি,মোহাব্বতের তরফের লোক
আপনের নাম কি মায়া নি,আপনার নাম কি মায়া
বকসিবাজারের সানির লগে হুনলাম,বকশীবাজারের সানির সাথে শুনলাম
আপনের নি মোহাব্বত আছে,আপনার নাকি প্রেমের সম্পর্ক আছে
আরে মরে নাইক্কা বেহুস করছি,"আরে মরেনি, বেহুঁশ করেছি"
একটু পর এমনে এমনেই উইঠা যাইবো,একটু পর এমনি এমনিই উঠে যাবে
তিরিস টা বচ্ছর পার হইয়া গ্যালো,ত্রিশটা বছর পার হয়ে গেল
পলাইয়া সাদি করছিলাম দেইখা,পালিয়ে বিয়ে করেছিলাম দেখে
তুমি আমারে আইজতক,তুমি আমাকে আজ পর্যন্ত
মাইনা নিবার পারলা না,মেনে নিতে পারলে না
করবার পারছোডা কী,করতে পেরেছটা কী
তুমি তুমার জিন্দেগীতে,তুমি তোমার জীবনে
অহনো তুমি হেতেরে,এখনও তুমি তাকে
মানাইবার পারো নাইক্কা,মানাতে পারোনি
এইডা কোনো কতা হইল নি,এটা কোনো কথা হলো?
আমি কৌসিসের কমতি করছি নি,আমি কি চেষ্টার কমতি করেছি?
